465020,443754,20,456671,4259,424415,30,44383,215,461141,465535,3255,215,23,215,215,20
465020,480,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,443754,27,456671,4259,424415,30,44383,212,454613,465535,3240,20,20,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,213,212
465020,480,21,456671,430549,424415,30,44383,20,454613,465535,3255,215,215,215,215,215
465020,480,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,213,212
465020,443754,23,447690,4259,463530,30,44383,20,461178,465535,3170,215,210,20,215,215
465020,443754,27,452599,4259,424415,30,44383,20,454613,435003,3255,20,20,215,215,20
465020,443754,23,443626,4259,424415,30,44383,213,454613,465535,3170,20,210,215,20,212
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,213,212
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,368,20,20,215,215,215
465020,443754,23,415,4259,43853,30,44383,215,454613,465535,3170,20,210,215,215,212
465020,443754,23,456671,4259,424415,30,44383,212,454613,465535,3240,20,20,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,215,212
465020,443754,23,452458,4259,424415,30,44383,20,461178,465535,3170,212,210,215,21,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,215,212
465020,443754,23,458882,4259,43853,30,44383,215,454613,465535,30,20,210,215,215,212
465020,443754,23,443626,4259,424415,30,44383,213,454613,465535,3170,20,210,215,20,212
465020,443754,23,456671,4259,424415,30,44383,212,454613,465535,3240,20,20,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,215,212
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,215,212
465020,452162,23,458882,4259,424415,30,44383,210,454613,465535,3240,210,210,215,213,25
465020,452162,23,458882,4259,424415,30,44383,20,461178,465535,3255,20,210,215,213,212
465020,480,20,456671,430549,424415,30,44383,20,454613,465535,3255,215,215,215,215,215
465020,480,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,443754,23,458882,4259,43853,30,44383,215,454613,465535,3170,20,210,215,215,212
465020,443754,27,456671,4259,424415,30,44383,212,454613,465535,3240,20,20,215,215,215
465020,480,21,456671,430549,424415,30,44383,20,454613,465535,3255,215,215,215,215,215
465020,443754,23,415,4259,43853,30,44383,215,454613,465535,3170,20,210,215,215,212
465020,480,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,368,20,20,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,215,212
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,368,20,20,215,215,215
465020,480,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,443754,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,25,215,215,215
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,210,210,215,213,25
465020,443754,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,20,215,215,215
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,210,210,215,25,25
465020,452162,23,447690,4259,463271,30,44383,20,461178,465535,3209,20,210,215,213,210
465020,452162,23,448890,4259,424415,30,44383,215,454613,435003,3170,215,210,20,215,212
465020,443754,23,447690,4259,463530,30,44383,20,461178,465535,3170,215,210,20,215,215
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,215,210,215,25,25
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,210,210,215,213,25
465020,480,20,456671,430549,424415,30,44383,215,47711,465535,3255,215,215,215,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,215,212
465020,443754,20,456671,430549,424415,30,44383,20,435415,465535,3255,215,25,215,215,215
465020,480,21,456671,430549,424415,30,44383,20,454613,465535,3255,214,215,215,215,215
465020,452162,23,447690,4259,424415,30,44383,20,454613,465535,3160,210,210,215,213,25
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,210,210,215,213,25
465020,443754,20,456671,4259,424415,30,44383,20,42274,465535,3170,215,215,215,215,20
465020,452162,23,458882,4259,424415,30,44383,210,454613,465535,3240,215,210,215,25,25
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,3240,215,20,215,25,215
465020,443754,23,447690,4259,463530,30,44383,20,461178,465535,3170,215,210,20,215,215
465020,452162,23,458882,4259,424415,30,44383,20,454613,465535,3255,22,210,215,215,25
465020,480,25,456671,4259,424415,30,44383,20,435415,465535,3255,215,215,215,215,215
465020,452162,23,458882,4259,424415,30,44383,20,454613,465535,3240,22,210,215,215,25
465020,443754,20,456671,4259,424415,30,44383,215,461141,465535,3255,215,23,215,215,20
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,213,212
465020,443754,27,452599,4259,424415,30,44383,20,447760,435003,3255,20,20,215,215,20
465020,443754,23,458882,4259,424415,30,44383,20,461178,435003,3170,20,210,215,21,215
465020,443754,23,443626,4259,424415,349,44383,213,454613,465535,3170,20,210,215,20,25
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,3255,20,20,215,215,215
465020,443754,23,447690,4259,463271,30,44383,20,461178,465535,3170,210,210,20,215,215
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,212,25,215,215,212
465020,443754,23,458882,4259,43853,30,44383,215,454613,465535,3170,210,210,215,215,212
465020,443754,23,456671,4259,424415,30,44383,20,454613,465535,3240,215,25,215,215,212
465020,452162,23,447690,4259,463271,30,44383,20,461178,411980,3170,20,210,215,213,210
465020,452162,23,447690,4259,424415,30,44383,210,454613,465535,3160,215,210,215,25,25
465020,452162,23,447690,4259,463271,30,44383,20,461178,465535,3209,20,210,215,213,210
465020,443754,23,456671,4259,424415,30,44383,212,454613,465535,3240,20,20,215,215,215
465020,452162,23,447690,4259,461674,30,44383,20,461178,465535,3170,212,210,214,215,28
465020,443754,27,456671,4259,424415,30,44383,20,454613,465535,3240,215,20,215,25,215
465020,443754,21,456671,430549,424415,30,44383,20,454613,465535,3255,215,215,215,215,215
465020,443754,27,456671,4259,424415,30,44383,20,454613,435003,3255,20,20,215,215,20
465020,443754,20,456671,4259,424415,30,44383,215,461141,465535,3255,215,23,215,215,20
465020,452162,23,458882,4259,424415,30,44383,20,454613,465535,3240,22,210,215,215,25
465020,443754,27,452599,4259,424415,30,44383,20,447760,435003,3255,20,20,215,215,20
465020,443754,23,458882,4259,424415,30,44383,20,461178,435003,3170,20,210,215,21,215
465020,443754,23,443626,4259,424415,30,44383,213,454613,465535,3170,20,210,215,26,212
465020,443754,27,452599,4259,424415,30,44383,20,454613,435003,3255,20,20,215,215,20
